DATE,ACCT,DESC,Category,Amount
01/02/2020,BARCLAY,VERIZON*RECURRING PAY,CABLE/INTERNET,-$192.27
01/03/2020,BARCLAY,QUARTERMAINE COFFEE RO,ENZO,-$2.60
01/03/2020,BARCLAY,VILLA MAYA RESTAURANT,RESTAURANT,-$52.40
01/04/2020,BARCLAY,SAFEWAY #1668,GROCERIES,-$32.03
01/04/2020,BARCLAY,"PULCINELLA, THE ITALIA",RESTAURANT,-$68.28
01/05/2020,BARCLAY,LA FITNESS,GYM,-$29.99
01/05/2020,BARCLAY,LA FIT *ANNUALFEE,GYM,-$49.00
01/05/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$31.26
01/06/2020,BARCLAY,MARKET@WORK 2067379149,ENZO,-$1.11
01/07/2020,BARCLAY,CREST CLEANERS - 12,CLEANERS,-$10.47
01/07/2020,BARCLAY,MARKET@WORK 2067379149,ENZO,-$1.11
01/08/2020,BARCLAY,COLONIAL PARKING # QPS,ENZO,-$5.00
01/08/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$22.28
01/09/2020,BARCLAY,USA*SNACK SODA VENDING,ENZO,-$2.10
01/09/2020,BARCLAY,MEDSTAR MGH ED,MEDICAL,-$50.00
01/09/2020,BARCLAY,DUNKIN #355132 Q35,RESTAURANT,-$7.88
01/10/2020,BARCLAY,TMOBILE*AUTO PAY,CELL PHONE,-$132.00
01/10/2020,BARCLAY,MARKET@WORK 2067379149,ENZO,-$1.11
01/10/2020,BARCLAY,AFLAC COLUMBUS,INSURANCE,-$58.24
01/10/2020,BARCLAY,PARKMOBILE-MONTGOMERY,ENZO,-$0.93
01/10/2020,BARCLAY,SAFEWAY #2797,GROCERIES,-$256.17
01/11/2020,BARCLAY,E-ZPASS MD REBILL,EZPASS,-$70.00
01/12/2020,BARCLAY,EXXONMOBIL    97585418,GAS,-$35.79
01/12/2020,BARCLAY,SQ *SQ *KIM'S BARBER S,HAIRCUT,-$16.00
01/13/2020,BARCLAY,MARKET@WORK 2067379149,ENZO,-$1.11
01/13/2020,BARCLAY,GIANT 0106,GROCERIES,-$9.10
