DATE,ACCT,DESC,Category,Amount
01/02/2020,CHASE,GIRLSCOUTSN,PAULA,-$10.00
01/03/2020,CHASE,TARGET        00018549,TARGET,-$144.89
01/03/2020,CHASE,AMZN Mktp US,AMAZON,$15.89
01/06/2020,CHASE,ALBERT AND AUSTEIN MD PA,MEDICAL,-$4.89
01/09/2020,CHASE,Amazon.com*QY50L3SE3,AMAZON,-$51.28
01/09/2020,CHASE,MCDONALD'S M4539 OF MD,RESTAURANT,-$12.06
01/10/2020,CHASE,TARGET.COM  *,TARGET,-$56.16
01/12/2020,CHASE,WALMART.COM,DIAPERS,-$41.08
01/16/2020,CHASE,Amazon.com*H12TN11L3,AMAZON,-$19.43
01/16/2020,CHASE,WW INT'L-DIGITAL,PAULA,-$13.30
01/20/2020,CHASE,Amazon.com*9X0H79KA3,AMAZON,-$9.95
01/22/2020,CHASE,AMZN Mktp US*O08CX4HF3,AMAZON,-$12.30
01/22/2020,CHASE,AMZN Mktp US*JZ1KA98E3,AMAZON,-$6.67
01/24/2020,CHASE,AMZN Mktp US*I65SN5PB3,AMAZON,-$12.71
01/27/2020,CHASE,Amazon.com*QJ5IK02Z3,AMAZON,-$18.01
01/28/2020,CHASE,AMZN Mktp US*9U3TQ9US3,AMAZON,-$14.09
01/28/2020,CHASE,Amazon.com*R78OO4AW3,AMAZON,-$11.69
01/28/2020,CHASE,AMZN Mktp US*PP7WY5CO3,AMAZON,-$23.63
01/28/2020,CHASE,Amazon.com*0W67R9P23,AMAZON,-$10.78
01/28/2020,CHASE,Amazon.com*V17Y115L3,AMAZON,-$16.39
01/28/2020,CHASE,Amazon.com*NE6X81N73,AMAZON,-$35.50
01/28/2020,CHASE,Amazon.com*1016336O3,AMAZON,-$18.90
01/29/2020,CHASE,Amazon.com*157SP4W03,AMAZON,-$14.05
01/31/2020,CHASE,LONE STAR COMICS WEB,ENTERTAINMENT,-$17.64
02/01/2020,CHASE,REDBOX *DVD RENTAL,ENTERTAINMENT,-$1.91
02/03/2020,CHASE,Amazon.com*3V42Q9VR3,AMAZON,-$19.24
02/03/2020,CHASE,ST. PATRICKS CHURCH,ENTERTAINMENT,-$225.00
02/04/2020,CHASE,Burger King 5882,RESTAURANT,-$9.30
02/04/2020,CHASE,ONECAUSE,ENTERTAINMENT,-$0.50
