DATE,ACCT,DESC,Category,Amount
01/03/2020,PNC,CHECK                 7480           086837366 ,MORTGAGE,"-$1,728.00"
01/03/2020,PNC,ACH CREDIT      XXXXX0474LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
01/08/2020,PNC,"ACH WEBSINGLE  XXXXX9264 TD BANK, NA      WEB PMT",SAMSUNG,-$45.00
01/10/2020,PNC,ACH DEBIT       2060086 TADS TUITION AID TADS PMNT,TUITION,-$500.00
01/13/2020,PNC,INTEREST PAYMENT ,INTEREST,$0.05
01/15/2020,PNC,ACH DEBIT       XXXXX1234 STPATRICKSCHURCH CONS COLL,TUITION,-$883.33
01/15/2020,PNC,ZEL FROM JOSEPHINE TILLI ,CELL PHONE,$48.80
01/17/2020,PNC,TWH TRANSFER TO                  XXXXX7277 ,XFER TO RESERVE,"-$1,800.00"
01/17/2020,PNC,ACH CREDIT      XXXXX6658LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
01/23/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$255.48
01/31/2020,PNC,ACH CREDIT      XXXXX9955LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
02/03/2020,PNC,CHECK                 7487           084444059 ,MORTGAGE,"-$1,977.00"
02/03/2020,PNC,TWH TRANSFER FROM                XXXXX7277 ,XFER FROM RESERVE,$500.00
02/04/2020,PNC,CHECK                 7492           085572586 ,MEDICAL,-$147.00
02/06/2020,PNC,"ACH WEBSINGLE  XXXXX9264 TD BANK, NA      WEB PMT",SAMSUNG,-$45.00
02/12/2020,PNC,INTEREST PAYMENT ,INTEREST,$0.03
02/12/2020,PNC,ZEL FROM JOSEPHINE TILLI ,CELL PHONE,$48.80
02/14/2020,PNC,ACH CREDIT      XXXXX3218LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
02/18/2020,PNC,ACH DEBIT       XXXXX1234 STPATRICKSCHURCH CONS COLL,TUITION,-$883.33
02/19/2020,PNC,MOBILE DEPOSIT                       XXXXX9612 ,EPAY,$600.00
02/20/2020,PNC,TWH TRANSFER TO                  XXXXX4114 ,XFER TO ELLA,-$87.00
02/20/2020,PNC,TWH TRANSFER TO                  XXXXX4106 ,XFER TO GIANLUCA,-$87.00
02/26/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$229.56
02/26/2020,PNC,"PAYMENT,E-CHECK 0199 PASSPORTSERVICES PAYMENT",NECESSITIES,-$110.00
02/28/2020,PNC,ACH CREDIT XXXXX2498LB3 NFP CORP DIRECT DEP,EPAY,"$3,000.00"
03/02/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS WASH SUBUR SANI ONLINE PMT,WSSC,-$219.07
03/03/2020,PNC,ACH WEB PAYMENT VINCENZO FRAGOM CITIBK CK WEBXFR P2P,EPAY,$500.00
03/04/2020,PNC,CHECK 7497 086870183,MEDICAL,-$64.00
03/04/2020,PNC,ONLINE TRANSFER FROM XXXXX7277,XFER FROM RESERVE,$150.00
03/05/2020,PNC,CHECK 7489 084016592,MORTGAGE,"-$1,977.00"
03/06/2020,PNC,"ACH WEBSINGLE XXXXX9264 TD BANK, NA WEB PMT",SAMSUNG,-$45.00
03/11/2020,PNC,INTEREST PAYMENT,INTEREST,$0.04
03/13/2020,PNC,ACH CREDIT XXXXX1134LB3 NFP CORP DIRECT DEP,EPAY,"$3,000.00"
03/16/2020,PNC,ACH DEBIT XXXXX1234 STPATRICKSCHURCH CONS COLL,TUITION,-$883.33
03/17/2020,PNC,TWH TRANSFER TO XXXXX7277,XFER TO RESERVE,"-$1,000.00"
03/25/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$203.21
03/27/2020,PNC,ACH WEB-SINGLE  7758011 PAYMENT FOR AMZ  STORECARD,AMAZON,-$40.37
03/27/2020,PNC,ACH CREDIT      XXXXX0164LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
04/06/2020,PNC,CHECK 7498 084149717,MORTGAGE,"-$1,977.00"
04/06/2020,PNC,"ACH WEBSINGLE XXXXX9264 TD BANK, NA WEB PMT",SAMSUNG,-$51.21
04/10/2020,PNC,INTEREST PAYMENT,INTEREST,$0.03
04/10/2020,PNC,ACH CREDIT XXXXX0518LB3 NFP CORP DIRECT DEP,EPAY,"$3,000.00"
04/13/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS PRUDENTIAL LIFE ONLINE PMT,LIFE INSURANCE,-$445.00
04/13/2020,PNC,ZEL FROM JOSEPHINE TILLI,CELL PHONE,$50.00
04/13/2020,PNC,ZEL FROM JOSEPHINE TILLI,ENTERTAINMENT,$200.00
04/13/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS PRUDENTIAL LIFE  ONLINE PMT,LIFE INSURANCE,-$445.00
04/15/2020,PNC,ACH DEBIT       XXXXX1234 STPATRICKSCHURCH CONS COLL,TUITION,-$883.33
04/15/2020,PNC,ACH CREDIT      XXXXX0908 IRS  TREAS 310     TAX REF,SAVINGS,"$3,900.00"
04/20/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS PRUDENTIAL LIFE ONLINE PMT,LIFE INSURANCE,-$200.00
04/20/2020,PNC,ACH DEBIT Z07313001 QBNFN FID BKG SVC LLC MONEYLINE,INVESTMENT,"-$3,000.00"
04/24/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$177.50
04/24/2020,PNC,ACH CREDIT XXXXX6313LB3 NFP CORP DIRECT DEP,EPAY,"$3,000.00"
04/28/2020,PNC,CHECK 203 083326438,MORTGAGE,"-$1,560.10"
04/29/2020,PNC,CHECK 7483 083618004,NECESSITIES,-$300.00
05/08/2020,PNC,"ZEL FROM PELUSO, MARCELLA",ENTERTAINMENT,$11.51
05/08/2020,PNC,"ZEL FROM MARTON, MATTHEW",ENTERTAINMENT,$12.00
05/08/2020,PNC,ACH CREDIT      XXXXX0914LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
05/12/2020,PNC,INTEREST PAYMENT,SAVINGS,$0.03
05/12/2020,PNC,ACH WEB-SINGLE 35230979 PAYMENT FOR AMZ STORECARD,NECESSITIES,-$71.00
05/12/2020,PNC,TWH TRANSFER TO XXXXX7277,SAVINGS,-$500.00
05/12/2020,PNC,ZEL FROM JOSEPHINE TILLI,CELL PHONE,$52.00
05/15/2020,PNC,ACH DEBIT XXXXX1234 STPATRICKSCHURCH CONS COLL,TUITION,-$883.33
05/22/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$160.92
05/22/2020,PNC,ACH CREDIT      XXXXX4332LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
05/28/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS WASH SUBUR SANI  ONLINE PMT,WSSC,-$219.03
06/01/2020,PNC,CHECK 204 084411324,MORTGAGE,"-$1,230.29"
06/01/2020,PNC,MOBILE DEPOSIT XXXXX3837,PPAY,$100.00
06/03/2020,PNC,ZEL FROM JOSEPHINE TILLI,PPAY,$100.00
06/05/2020,PNC,ACH CREDIT      XXXXX1457LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
06/09/2020,PNC,ACH WEB-SINGLE 50893830 PAYMENT FOR AMZ STORECARD,NECESSITIES,-$71.00
06/09/2020,PNC,TWH TRANSFER TO XXXXX7277,SAVINGS,-$500.00
06/10/2020,PNC,INTEREST PAYMENT,INTEREST,$0.02
06/12/2020,PNC,ZEL FROM JOSEPHINE TILLI,CELL PHONE,$52.00
06/19/2020,PNC,ACH CREDIT      XXXXX8978LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
06/23/2020,PNC,ACH WEBSINGLE CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$162.29
06/30/2020,PNC,CHECK 7517 085467962,NECESSITIES,-$500.00
07/01/2020,PNC,CHECK 7519 049660930,MEDICAL,-$208.59
07/02/2020,PNC,ACH CREDIT XXXXX9143LB3 NFP CORP DIRECT DEP,EPAY,"$3,000.00"
07/03/2020,PNC,ZEL FROM JOSEPHINE TILLI,ENTERTAINMENT,$75.00
07/06/2020,PNC,ZEL TO Maddalena Shiffert,NECESSITIES,-$14.15
07/06/2020,PNC,CHECK 7515 083779677,MORTGAGE,"-$1,303.11"
07/06/2020,PNC,TWH TRANSFER TO XXXXX4106,XFER TO ELLA,-$75.00
07/06/2020,PNC,TWH TRANSFER TO XXXXX7277,XFER TO G,"-$1,000.00"
07/06/2020,PNC,ONLINE TRANSFER TO XXXXX3861,XFER TO NICO,-$25.00
07/06/2020,PNC,ONLINE TRANSFER TO XXXXX4114,XFER TO ELLA,-$75.00
07/06/2020,PNC,MOBILE DEPOSIT XXXXX5310,GIFT,$100.00
07/09/2020,PNC,ACH WEB-SINGLE 50894685 PAYMENT FOR AMZ STORECARD,NECESSITIES,-$71.00
07/10/2020,PNC,INTEREST PAYMENT,INTEREST,$0.04
07/13/2020,PNC,ZEL FROM JOSEPHINE TILLI,CELL PHONE,$52.00
07/17/2020,PNC,TWH TRANSFER FROM                XXXXX7277,XFER TO RESERVE,$500.00
07/17/2020,PNC,ACH CREDIT      XXXXX2070LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
07/24/2020,PNC,ACH WEBSINGLE  CKFXXXXX0998POS POTOMAC ELECTRIC ONLINE PMT,PEPCO,-$208.96
07/29/2020,PNC,ACH WEBSINGLE  XXXXX8185 PAYPAL           INST XFER,PAULA,-$123.67
07/31/2020,PNC,ACH CREDIT      XXXXX6168LB3 NFP CORP         DIRECT DEP,EPAY,"$3,000.00"
08/03/2020,PNC,ACH WEB PAYMENT VINCENZO FRAGOM CITIBK CK WEBXFR P2P,EPAY,$600.00
